source,domain,scenario_name,density_pct,policy,metric,mean,ci_low,ci_high,ci_width,interval_collapsed,n_seeds
primary_yellow_green,green,primary_dispatch_d10_w5_det4,10,coldstart,mean_wait_min,1.87,1.87,1.87,0.0,True,5
primary_yellow_green,green,primary_dispatch_d10_w5_det4,10,coldstart,mean_matched_riders_per_driver,0.02,0.02,0.02,0.0,True,5
primary_yellow_green,green,primary_dispatch_d10_w5_det4,10,coldstart,mean_eval_time_s,0.017,0.017,0.017,0.0,True,5
primary_yellow_green,green,primary_dispatch_d10_w5_det4,10,coldstart,mean_batch_runtime_s,0.0357,0.0357,0.0357,0.0,True,5
primary_yellow_green,green,primary_dispatch_d10_w5_det4,10,heuristic_feasible_count,profit_per_launched_driver,-7.54,-7.54,-7.54,0.0,True,5
primary_yellow_green,green,primary_dispatch_d10_w5_det4,10,heuristic_feasible_count,served_riders,40.0,40.0,40.0,0.0,True,5
primary_yellow_green,green,primary_dispatch_d10_w5_det4,10,heuristic_feasible_count,rider_service_rate,0.011,0.011,0.011,0.0,True,5
primary_yellow_green,green,primary_dispatch_d10_w5_det4,10,heuristic_feasible_count,mean_wait_min,2.14,2.14,2.14,0.0,True,5
primary_yellow_green,green,primary_dispatch_d10_w5_det4,10,heuristic_feasible_count,mean_matched_riders_per_driver,0.04,0.04,0.04,0.0,True,5
primary_yellow_green,green,primary_dispatch_d10_w5_det4,10,heuristic_feasible_count,mean_eval_time_s,0.0171,0.0171,0.0171,0.0,True,5
primary_yellow_green,green,primary_dispatch_d10_w5_det4,10,heuristic_feasible_count,mean_batch_runtime_s,0.0358,0.0358,0.0358,0.0,True,5
primary_yellow_green,green,primary_dispatch_d10_w5_det4,10,oracle,profit_per_launched_driver,-7.25,-7.25,-7.25,0.0,True,5
primary_yellow_green,green,primary_dispatch_d10_w5_det4,10,oracle,served_riders,290.0,290.0,290.0,0.0,True,5
primary_yellow_green,green,primary_dispatch_d10_w5_det4,10,oracle,rider_service_rate,0.074,0.074,0.074,0.0,True,5
primary_yellow_green,green,primary_dispatch_d10_w5_det4,10,oracle,mean_wait_min,2.05,2.05,2.05,0.0,True,5
primary_yellow_green,green,primary_dispatch_d10_w5_det4,10,oracle,mean_matched_riders_per_driver,0.29,0.29,0.29,0.0,True,5
primary_yellow_green,green,primary_dispatch_d10_w5_det4,10,oracle,mean_eval_time_s,0.017,0.017,0.017,0.0,True,5
primary_yellow_green,green,primary_dispatch_d10_w5_det4,10,oracle,mean_batch_runtime_s,0.0356,0.0356,0.0356,0.0,True,5
primary_yellow_green,green,primary_dispatch_d10_w5_det4,10,warmup,profit_per_launched_driver,-7.27,-7.27,-7.27,0.0,True,5
primary_yellow_green,green,primary_dispatch_d10_w5_det4,10,warmup,served_riders,270.0,270.0,270.0,0.0,True,5
primary_yellow_green,green,primary_dispatch_d10_w5_det4,10,warmup,rider_service_rate,0.069,0.069,0.069,0.0,True,5
primary_yellow_green,green,primary_dispatch_d10_w5_det4,10,warmup,mean_wait_min,2.07,2.07,2.07,0.0,True,5
primary_yellow_green,green,primary_dispatch_d10_w5_det4,10,warmup,mean_matched_riders_per_driver,0.27,0.27,0.27,0.0,True,5
primary_yellow_green,green,primary_dispatch_d10_w5_det4,10,warmup,mean_eval_time_s,0.017,0.017,0.017,0.0,True,5
primary_yellow_green,green,primary_dispatch_d10_w5_det4,10,warmup,mean_batch_runtime_s,0.0357,0.0357,0.0357,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d100,100,coldstart,profit_per_launched_driver,-2.6,-2.6,-2.6,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d100,100,coldstart,served_riders,960.0,960.0,960.0,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d100,100,coldstart,rider_service_rate,0.24,0.24,0.24,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d100,100,coldstart,mean_wait_min,1.2,1.2,1.2,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d100,100,coldstart,mean_matched_riders_per_driver,0.96,0.96,0.96,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d100,100,coldstart,mean_eval_time_s,0.0173,0.0173,0.0173,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d100,100,coldstart,mean_batch_runtime_s,0.0368999999999999,0.0368999999999999,0.0368999999999999,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d100,100,heuristic_feasible_count,profit_per_launched_driver,-0.4,-0.4,-0.4,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d100,100,heuristic_feasible_count,served_riders,1180.0,1180.0,1180.0,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d100,100,heuristic_feasible_count,rider_service_rate,0.3,0.3,0.3,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d100,100,heuristic_feasible_count,mean_wait_min,1.22,1.22,1.22,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d100,100,heuristic_feasible_count,mean_matched_riders_per_driver,1.18,1.18,1.18,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d100,100,heuristic_feasible_count,mean_eval_time_s,0.0173,0.0173,0.0173,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d100,100,heuristic_feasible_count,mean_batch_runtime_s,0.0368999999999999,0.0368999999999999,0.0368999999999999,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d100,100,warmup,profit_per_launched_driver,-0.29,-0.29,-0.29,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d100,100,warmup,served_riders,1120.0,1120.0,1120.0,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d100,100,warmup,rider_service_rate,0.29,0.29,0.29,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d100,100,warmup,mean_wait_min,1.2,1.2,1.2,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d100,100,warmup,mean_matched_riders_per_driver,1.12,1.12,1.12,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d100,100,warmup,mean_eval_time_s,0.0173,0.0173,0.0173,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d100,100,warmup,mean_batch_runtime_s,0.0368999999999999,0.0368999999999999,0.0368999999999999,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d100,100,oracle,profit_per_launched_driver,0.15,0.15,0.15,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d100,100,oracle,served_riders,1240.0,1240.0,1240.0,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d100,100,oracle,rider_service_rate,0.31,0.31,0.31,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d100,100,oracle,mean_wait_min,1.25,1.25,1.25,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d100,100,oracle,mean_matched_riders_per_driver,1.24,1.24,1.24,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d100,100,oracle,mean_eval_time_s,0.0173,0.0173,0.0173,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d100,100,oracle,mean_batch_runtime_s,0.0368999999999999,0.0368999999999999,0.0368999999999999,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d25,25,coldstart,profit_per_launched_driver,-6.87,-6.87,-6.87,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d25,25,coldstart,served_riders,350.0,350.0,350.0,0.0,True,5
yellow_density_sweep,yellow,dispatch_density_d25,25,coldstart,rider_service_rate,0.08,0.08,0.08,0.0,True,5
